gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
TRA2B,1.7200697273682211e-28,-0.601940507257741,0.462,0.54,3.963556672774592e-24,endothelial,cirrhotic_vs_healthy_cell_level
STC2,1.8161277322454393e-28,1.178765222100817,0.119,0.049,4.184903133413166e-24,endothelial,cirrhotic_vs_healthy_cell_level
DDX3Y,1.8355355071543402e-28,-1.1354664402536252,0.137,0.22,4.229624469135746e-24,endothelial,cirrhotic_vs_healthy_cell_level
KDM6B,1.9457743968221058e-28,-1.2078622159066117,0.179,0.265,4.483647942597179e-24,endothelial,cirrhotic_vs_healthy_cell_level
LTA4H,2.0167759974480727e-28,-0.7790623286408098,0.251,0.343,4.6472569309195935e-24,endothelial,cirrhotic_vs_healthy_cell_level
NR2F2-AS1,2.4283712010011806e-28,-1.208115341886946,0.054,0.118,5.5956957584670206e-24,endothelial,cirrhotic_vs_healthy_cell_level
CXXC5,2.790929780814379e-28,0.8293174343930809,0.195,0.106,6.431139493930574e-24,endothelial,cirrhotic_vs_healthy_cell_level
SAMM50,4.623695397968312e-28,0.763306673738325,0.266,0.165,1.0654381305538382e-23,endothelial,cirrhotic_vs_healthy_cell_level
SNRPA,4.737892513893847e-28,0.6705826229805809,0.248,0.149,1.0917525719765592e-23,endothelial,cirrhotic_vs_healthy_cell_level
CMIP,4.90612644841792e-28,0.49915443578130686,0.334,0.219,1.1305187175089412e-23,endothelial,cirrhotic_vs_healthy_cell_level
LMCD1,4.984530068253463e-28,0.19451432062743038,0.336,0.208,1.1485852636276455e-23,endothelial,cirrhotic_vs_healthy_cell_level
TP53I13,5.770527715158962e-28,1.0501295572050564,0.116,0.046,1.3297027014040796e-23,endothelial,cirrhotic_vs_healthy_cell_level
FKBP10,6.429503755547405e-28,0.9820791091896002,0.17,0.087,1.4815505503907884e-23,endothelial,cirrhotic_vs_healthy_cell_level
LSM7,7.046741823566684e-28,0.3062524395026522,0.525,0.397,1.623780718404471e-23,endothelial,cirrhotic_vs_healthy_cell_level
SPAG9,7.168750858608484e-28,-0.9133505833341309,0.22,0.31,1.651895260349153e-23,endothelial,cirrhotic_vs_healthy_cell_level
SLC25A6,7.177051067434873e-28,0.24948875443885887,0.865,0.777,1.6538078774690176e-23,endothelial,cirrhotic_vs_healthy_cell_level
CRNDE,9.55777891335115e-28,1.1966683194764909,0.116,0.047,2.2023989950035053e-23,endothelial,cirrhotic_vs_healthy_cell_level
MARCH6,9.811719172839252e-28,-0.879342804379952,0.218,0.311,2.2609144489973486e-23,endothelial,cirrhotic_vs_healthy_cell_level
SMAD1,1.1853980358800132e-27,1.0597169273796172,0.166,0.084,2.7315126940783146e-23,endothelial,cirrhotic_vs_healthy_cell_level
CPEB4,1.248886074272341e-27,-1.353749178459319,0.119,0.197,2.8778081809457554e-23,endothelial,cirrhotic_vs_healthy_cell_level
C1orf21,1.3842594273370871e-27,-0.8436903932482,0.187,0.277,3.18974899841285e-23,endothelial,cirrhotic_vs_healthy_cell_level
GALNT15,1.3977470571068976e-27,0.9282753234129331,0.196,0.108,3.220828543691424e-23,endothelial,cirrhotic_vs_healthy_cell_level
COX4I1,1.597646974023793e-27,0.2034280508337858,0.923,0.849,3.681457922243026e-23,endothelial,cirrhotic_vs_healthy_cell_level
ATP5I,1.6589768784702035e-27,0.22192350442180153,0.816,0.706,3.82278042105889e-23,endothelial,cirrhotic_vs_healthy_cell_level
TAX1BP3,2.0466667642338006e-27,0.49084665195679444,0.452,0.334,4.716134224823947e-23,endothelial,cirrhotic_vs_healthy_cell_level
FAM129A,2.0827485621550472e-27,1.239191672999557,0.109,0.042,4.7992775117738753e-23,endothelial,cirrhotic_vs_healthy_cell_level
SMIM4,2.1651788065021364e-27,0.6016053026863714,0.242,0.144,4.989221523822873e-23,endothelial,cirrhotic_vs_healthy_cell_level
IVNS1ABP,2.489282792988768e-27,0.5351782049246591,0.304,0.197,5.736054339884018e-23,endothelial,cirrhotic_vs_healthy_cell_level
PDLIM5,2.8940196308981875e-27,-0.707700973212781,0.29,0.381,6.668689435478694e-23,endothelial,cirrhotic_vs_healthy_cell_level
FMNL3,3.1111740646132377e-27,0.8824687089936305,0.174,0.091,7.169078397088284e-23,endothelial,cirrhotic_vs_healthy_cell_level
LRRFIP2,3.557474417847351e-27,-0.9927136384419448,0.157,0.243,8.19748830104565e-23,endothelial,cirrhotic_vs_healthy_cell_level
NXPE3,3.681730552332982e-27,-1.1987506122719285,0.095,0.17,8.483811711740891e-23,endothelial,cirrhotic_vs_healthy_cell_level
ETS1,3.770946983992351e-27,-0.7109426192955738,0.427,0.505,8.689393135213575e-23,endothelial,cirrhotic_vs_healthy_cell_level
CCL21,4.52036931308634e-27,2.8521183330448516,0.195,0.107,1.0416287008144853e-22,endothelial,cirrhotic_vs_healthy_cell_level
NFIB,4.9771519849099084e-27,0.3774288947141795,0.649,0.531,1.14688513188279e-22,endothelial,cirrhotic_vs_healthy_cell_level
ACTA2,5.9402160362423275e-27,-1.197316758506777,0.069,0.136,1.3688039812313197e-22,endothelial,cirrhotic_vs_healthy_cell_level
SLC27A3,6.24372177038083e-27,-0.9439874380050797,0.16,0.246,1.4387408075488548e-22,endothelial,cirrhotic_vs_healthy_cell_level
CYBA,6.537875453694858e-27,-0.3549734564163183,0.726,0.766,1.5065226407949062e-22,endothelial,cirrhotic_vs_healthy_cell_level
CD58,7.235574382313666e-27,-0.9969902418824856,0.176,0.262,1.667293404916538e-22,endothelial,cirrhotic_vs_healthy_cell_level
NPM1,7.87355088735042e-27,0.23703274882642322,0.856,0.763,1.8143023309721572e-22,endothelial,cirrhotic_vs_healthy_cell_level
OAF,8.79142142953512e-27,1.1367700527373403,0.125,0.054,2.0258072400077776e-22,endothelial,cirrhotic_vs_healthy_cell_level
CYP20A1,8.957857346075763e-27,-0.9187234882480753,0.214,0.301,2.064159068256238e-22,endothelial,cirrhotic_vs_healthy_cell_level
